class_idx,class_name,correct,total,accuracy
0,airplane,962,1000,0.9620
1,automobile,983,1000,0.9830
2,bird,941,1000,0.9410
3,cat,887,1000,0.8870
4,deer,962,1000,0.9620
5,dog,923,1000,0.9230
6,frog,972,1000,0.9720
7,horse,961,1000,0.9610
8,ship,967,1000,0.9670
9,truck,973,1000,0.9730
all,overall,9531,10000,0.9531
