class,accuracy,correct,total
airplane,0.9530,953,1000
automobile,0.9850,985,1000
bird,0.9400,940,1000
cat,0.8740,874,1000
deer,0.9580,958,1000
dog,0.9080,908,1000
frog,0.9710,971,1000
horse,0.9720,972,1000
ship,0.9680,968,1000
truck,0.9680,968,1000
