class,correct,total,accuracy
airplane,962,1000,0.9620
automobile,975,1000,0.9750
bird,925,1000,0.9250
cat,878,1000,0.8780
deer,957,1000,0.9570
dog,930,1000,0.9300
frog,956,1000,0.9560
horse,966,1000,0.9660
ship,967,1000,0.9670
truck,964,1000,0.9640
__overall__,9480,10000,0.9480
