class,accuracy,n_correct,n_total
airplane,0.9560,956,1000
automobile,0.9830,983,1000
bird,0.9360,936,1000
cat,0.8850,885,1000
deer,0.9670,967,1000
dog,0.9150,915,1000
frog,0.9710,971,1000
horse,0.9740,974,1000
ship,0.9730,973,1000
truck,0.9680,968,1000
