class,correct,total,accuracy
airplane,913,1000,0.9130
automobile,946,1000,0.9460
bird,819,1000,0.8190
cat,748,1000,0.7480
deer,885,1000,0.8850
dog,830,1000,0.8300
frog,932,1000,0.9320
horse,921,1000,0.9210
ship,944,1000,0.9440
truck,932,1000,0.9320
__overall__,8870,10000,0.8870
