class,accuracy,n_correct,n_total
airplane,0.9620,962,1000
automobile,0.9870,987,1000
bird,0.9180,918,1000
cat,0.8930,893,1000
deer,0.9600,960,1000
dog,0.9050,905,1000
frog,0.9650,965,1000
horse,0.9620,962,1000
ship,0.9580,958,1000
truck,0.9540,954,1000
